latitud,longitud,Barrio,Ciudad,Area_total,Area_constr,MONEDA,Area_constr_cat,NroBanios,Dormitorios,Antiguedad,Cocheras,areas_diff,geohash_grado5,geohash_grado6,geohash_grado7,geohash_grado8,geohash_grado9,Precio_m2_total
-12.08395785126616,-76.91453756878661,La Molina,Lima,430.0,290.0,USD,8.0,4.0,4.0,19.0,3.0,140.0,6mc73,6mc73b,6mc73b0,6mc73b0t,6mc73b0tc,5860.46511627907
-12.0795115,-76.9189301,La Molina,Lima,1084.0,400.0,S/,14.0,4.0,4.0,21.0,4.0,684.0,6mc73,6mc738,6mc738v,6mc738vr,6mc738vre,4302.952029520296
-12.0824781,-76.89930759999999,La Molina,Lima,330.0,338.0,S/,10.0,4.0,4.0,15.0,3.0,-8.0,6mc76,6mc760,6mc7607,6mc7607w,6mc7607wk,5281.818181818182
-12.0710956789,-76.95491539309998,NoEspecifica,Lima,450.0,450.0,S/,15.0,6.0,6.0,16.0,4.0,0.0,6mc72,6mc72f,6mc72fe,6mc72fe0,6mc72fe0u,5028.631111111111
-12.0963327,-77.02807209999997,San Isidro,Lima,140.0,140.0,USD,1.0,2.0,2.0,28.0,2.0,0.0,6mc5p,6mc5pj,6mc5pjv,6mc5pjvv,6mc5pjvvg,5475.0
-12.139613800000001,-76.9915505,Santiago de Surco,Lima,160.0,295.0,USD,8.0,3.0,4.0,31.0,2.0,-135.0,6mc6b,6mc6bn,6mc6bn0,6mc6bn03,6mc6bn03w,9821.875
-12.1347420898,-76.98510527989998,Santiago de Surco,Lima,110.0,110.0,S/,0.0,2.0,3.0,30.0,2.0,0.0,6mc6b,6mc6bn,6mc6bnv,6mc6bnvn,6mc6bnvnj,13645.454545454546
-12.084129199999998,-76.93192950000002,La Molina,Lima,379.0,379.0,S/,12.0,4.0,4.0,17.0,3.0,0.0,6mc73,6mc732,6mc7325,6mc7325u,6mc7325uu,5869.129287598946
-12.207342,-77.00931099999998,Chorrillos,Lima,550.0,239.0,USD,5.0,3.0,4.0,22.0,2.0,311.0,6mc4x,6mc4x9,6mc4x9e,6mc4x9ex,6mc4x9ex0,4136.363636363636
-12.076126499999999,-77.0033454,San Luis,Lima,197.0,197.0,S/,3.0,1.0,3.0,30.0,3.0,0.0,6mc5r,6mc5r9,6mc5r9x,6mc5r9xg,6mc5r9xgk,8546.751269035532
-12.0897826,-76.9576443,La Molina,Lima,550.0,350.0,USD,11.0,4.0,4.0,14.0,3.0,200.0,6mc70,6mc70z,6mc70z1,6mc70z15,6mc70z15u,4263.636363636364
-12.0971836,-77.01231949999998,San Isidro,Lima,600.0,600.0,S/,18.0,4.0,6.0,34.0,4.0,0.0,6mc5p,6mc5pt,6mc5ptc,6mc5ptc2,6mc5ptc2f,6640.0
-12.0777299,-76.9000762,La Molina,Lima,600.0,600.0,S/,18.0,4.0,4.0,21.0,4.0,0.0,6mc76,6mc761,6mc7617,6mc76174,6mc761744,4200.0
-12.1068573,-77.03212940000002,Miraflores,Lima,329.0,400.0,S/,14.0,3.0,4.0,32.0,3.0,-71.0,6mc5p,6mc5ph,6mc5ph4,6mc5ph4b,6mc5ph4bm,9960.0
-12.1893629,-77.01644869999998,Chorrillos,Lima,60.0,140.0,USD,1.0,3.0,4.0,26.0,2.0,-80.0,6mc4x,6mc4xk,6mc4xky,6mc4xkyr,6mc4xkyrf,6708.333333333332
-12.105911,-77.01465250000003,San Isidro,Lima,750.0,465.0,S/,15.0,4.0,5.0,34.0,3.0,285.0,6mc5p,6mc5pk,6mc5pkp,6mc5pkpt,6mc5pkptu,7120.0
-12.1161694,-76.9936089,Santiago de Surco,Lima,400.0,450.0,USD,15.0,4.0,5.0,27.0,4.0,-50.0,6mc5p,6mc5pf,6mc5pfq,6mc5pfqf,6mc5pfqfn,8312.5
-12.0910518,-76.92279189999998,La Molina,Lima,303.0,268.0,USD,7.0,3.0,4.0,18.0,2.0,35.0,6mc71,6mc71w,6mc71wf,6mc71wfs,6mc71wfs9,6584.158415841584
-15.875976800000002,-74.17318909999999,Mala,Cañete,320.0,320.0,S/,10.0,5.0,5.0,9.0,2.0,0.0,6m5m8,6m5m8j,6m5m8ju,6m5m8jue,6m5m8juex,3412.1875
-12.090531290200438,-77.0000692940567,San Borja,Lima,300.0,270.0,S/,7.0,3.0,4.0,26.0,3.0,30.0,6mc5p,6mc5py,6mc5pyf,6mc5pyfr,6mc5pyfr8,6902.0
-12.2091904,-77.0059442,Chorrillos,Lima,186.0,160.0,S/,2.0,3.0,4.0,18.0,2.0,26.0,6mc4x,6mc4x9,6mc4x9m,6mc4x9mu,6mc4x9mur,8688.064516129032
-12.085336400000001,-76.96179959999998,Santiago de Surco,Lima,3707.0,561.0,S/,17.0,4.0,5.0,22.0,4.0,3146.0,6mc70,6mc70x,6mc70xy,6mc70xyj,6mc70xyju,2670.623145400593
-12.060770548987696,-76.95016054921264,La Molina,Lima,250.0,250.0,S/,6.0,3.0,4.0,17.0,2.0,0.0,6mc72,6mc72u,6mc72uq,6mc72uqs,6mc72uqsg,4800.0
-12.12165565696309,-76.98226683590701,Santiago de Surco,Lima,577.0,500.0,S/,16.0,4.0,4.0,26.0,4.0,77.0,6mc70,6mc701,6mc701r,6mc701r4,6mc701r4p,5762.564991334489
-12.087349900000001,-76.96948469999998,La Molina,Lima,307.0,307.0,USD,9.0,4.0,4.0,14.0,3.0,0.0,6mc70,6mc70x,6mc70x8,6mc70x8d,6mc70x8d1,5700.325732899023
-12.1316403981,-76.97710474359998,Santiago de Surco,Lima,426.0,426.0,S/,14.0,4.0,4.0,25.0,3.0,0.0,6mc6b,6mc6br,6mc6brd,6mc6brdb,6mc6brdbp,10624.852112676055
