latitud,longitud,Barrio,Ciudad,Area_total,Area_constr,Area_constr_cat,NroBanios,Dormitorios,Antiguedad,Cocheras,areas_diff,areas_proporcion,diff_total_mean_district,geohash_grado5,geohash_grado6,geohash_grado7,geohash_grado8,geohash_grado9,bank_poi_count,parking_poi_count,clinic_poi_count,restaurant_poi_count,school_poi_count,bus_station_poi_count,college_poi_count,university_poi_count,marketplace_poi_count,police_poi_count,local_average_bedrooms,local_average_total_area,Precio_m2_total
-12.0696099,-76.9092045,18,2,1015.0,400.0,14.0,4.0,4.0,20.0,4.0,615.0,2.5375,-374.2334656084657,6mc73,6mc73f,6mc73fu,6mc73fu3,6mc73fu3m,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.430370370370271,450.08395061728265,788.1773399014778
-12.137681800000001,-76.9773119,48,2,425.0,458.0,16.0,4.0,4.0,28.0,4.0,-33.0,0.9279475982532752,-344.45104895104896,6mc6b,6mc6bq,6mc6bq6,6mc6bq6u,6mc6bq6uf,1.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,1.0,0.0,4.430264132313006,450.49247099481863,4900.0
-12.095192263332713,-77.06714226417084,24,2,242.0,242.0,6.0,3.0,4.0,47.0,2.0,0.0,1.0,-88.25563909774435,6mc5n,6mc5nq,6mc5nq1,6mc5nq1k,6mc5nq1km,2.0,2.0,3.0,13.0,9.0,0.0,1.0,1.0,0.0,1.0,4.430264132313006,450.537645025922,7169.421487603306
-12.1304702655,-76.98175150899999,48,2,220.0,220.0,5.0,3.0,4.0,30.0,2.0,0.0,1.0,-43.48124999999999,6mc6b,6mc6bp,6mc6bpx,6mc6bpxw,6mc6bpxwg,12.0,15.0,2.0,34.0,4.0,1.0,0.0,1.0,0.0,0.0,4.430264132313006,450.5430757837596,6912.722727272727
-11.9730589,-77.0036264,40,2,162.0,132.0,1.0,3.0,6.0,14.0,1.0,30.0,1.2272727272727273,-186.45104895104896,6mc5z,6mc5zs,6mc5zsr,6mc5zsre,6mc5zsrev,6.0,1.0,1.0,6.0,24.0,0.0,0.0,0.0,2.0,1.0,4.429770427055045,450.55739323624044,4753.086419753086
-12.0874226,-76.9088443,18,2,1000.0,389.0,13.0,4.0,4.0,13.0,3.0,611.0,2.570694087403599,328.7450980392157,6mc71,6mc71z,6mc71zs,6mc71zs9,6mc71zs9w,0.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,4.43172242874847,450.3390334572461,2625.0
-12.09483427107156,-76.92173232523595,18,2,808.0,260.0,7.0,3.0,4.0,17.0,2.0,548.0,3.107692307692308,729.51875,6mc71,6mc71w,6mc71w5,6mc71w5q,6mc71w5q3,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.430264132313006,450.3979264379192,2060.6435643564355
-12.08162116651509,-76.90740549882452,18,2,488.0,246.0,6.0,3.0,4.0,17.0,2.0,242.0,1.9837398373983741,122.39413680781756,6mc73,6mc73b,6mc73bt,6mc73bte,6mc73bter,0.0,1.0,0.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,4.430264132313006,450.4769192791928,4073.7704918032787
-12.131281199999998,-77.0148355,48,2,427.0,427.0,15.0,4.0,4.0,28.0,3.0,0.0,1.0,-458.2334656084657,6mc4z,6mc4zr,6mc4zrx,6mc4zrxd,6mc4zrxd0,2.0,6.0,2.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,4.430264132313006,450.4919772895606,6324.2903981264635
-12.1026425,-77.0291165,39,2,325.0,324.0,10.0,3.0,4.0,40.0,2.0,1.0,1.0030864197530864,-134.23346560846562,6mc5p,6mc5ph,6mc5phv,6mc5phv0,6mc5phv0g,8.0,2.0,4.0,7.0,12.0,2.0,2.0,2.0,0.0,1.0,4.430264132313006,450.5171562577166,8812.30769230769
-12.0463731,-77.042754,28,2,300.0,300.0,9.0,3.0,5.0,22.0,2.0,0.0,1.0,451.54895104895104,6mc5q,6mc5qz,6mc5qz5,6mc5qz50,6mc5qz50v,7.0,12.0,2.0,10.0,11.0,2.0,2.0,2.0,8.0,0.0,4.429982711780719,450.6371943689829,5924.03
-12.116586388895907,-76.93871628200073,18,2,305.0,150.0,2.0,3.0,5.0,19.0,2.0,155.0,2.033333333333333,-398.2334656084657,6mc71,6mc714,6mc714n,6mc714nz,6mc714nzv,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.4300172796840265,450.52209331029627,2652.459016393443
-12.0990125,-77.06003249999998,24,2,666.0,380.0,13.0,3.0,4.0,47.0,3.0,286.0,1.7526315789473683,29.599999999999994,6mc5n,6mc5nm,6mc5nmq,6mc5nmqw,6mc5nmqw5,9.0,2.0,0.0,12.0,4.0,0.0,0.0,1.0,0.0,0.0,4.430370370370271,450.3967901234555,3453.453453453453
-12.08388529436498,-76.9244603558228,18,2,340.0,340.0,11.0,4.0,4.0,15.0,3.0,0.0,1.0,-101.52238805970148,6mc73,6mc738,6mc7381,6mc7381q,6mc7381q6,6.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,4.430264132313006,450.513453468282,6300.0
-12.0908259,-76.99184880000001,38,2,485.0,400.0,14.0,5.0,6.0,27.0,3.0,85.0,1.2125,54.611538461538494,6mc70,6mc70n,6mc70nb,6mc70nbj,6mc70nbjz,6.0,0.0,4.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,4.429770427055045,450.47765983707984,5789.690721649485
-12.085336400000001,-76.96179959999998,48,2,282.0,282.0,8.0,4.0,4.0,30.0,2.0,0.0,1.0,501.7665343915343,6mc70,6mc70x,6mc70xy,6mc70xyj,6mc70xyju,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.430264132313006,450.5277709207628,7578.379432624112
-12.049699,-76.99814690000002,15,2,176.0,176.0,3.0,3.0,5.0,30.0,1.0,0.0,1.0,-308.4510489510489,6mc5r,6mc5ry,6mc5ry7,6mc5ry7t,6mc5ry7tm,4.0,1.0,4.0,7.0,24.0,0.0,2.0,0.0,0.0,1.0,4.4300172796840265,450.55393729943466,4044.886363636364
-12.080789300000001,-77.0181197,19,2,260.0,260.0,7.0,3.0,4.0,30.0,1.0,0.0,1.0,-227.45104895104896,6mc5r,6mc5r2,6mc5r2v,6mc5r2v0,6mc5r2v07,4.0,1.0,1.0,15.0,12.0,0.0,0.0,0.0,0.0,1.0,4.430264132313006,450.5332016786004,4807.692307692308
-11.9962077,-77.06466949999998,22,2,373.0,373.0,12.0,6.0,13.0,32.0,1.0,0.0,1.0,-298.4510489510489,6mc5y,6mc5y2,6mc5y25,6mc5y25j,6mc5y25jp,12.0,9.0,3.0,17.0,16.0,0.0,4.0,3.0,0.0,1.0,4.428042458652182,450.50530733152567,2608.57908847185
-12.0317509,-77.0858848,43,2,230.0,230.0,5.0,3.0,3.0,6.0,2.0,0.0,1.0,33.744360902255664,6mc5t,6mc5tc,6mc5tce,6mc5tcev,6mc5tcevb,8.0,0.0,2.0,19.0,27.0,0.0,0.0,0.0,2.0,0.0,4.4305109849419875,450.5406072574698,3392.1739130434785
-12.1291658,-76.9890313,48,2,250.0,250.0,6.0,3.0,4.0,28.0,2.0,0.0,1.0,376.7665343915343,6mc6b,6mc6bp,6mc6bpf,6mc6bpfq,6mc6bpfq3,8.0,6.0,7.0,21.0,3.0,0.0,0.0,0.0,1.0,1.0,4.430264132313006,450.5356702048902,6640.0
-12.08797150040247,-76.92712783813475,18,2,309.0,258.0,6.0,3.0,4.0,17.0,2.0,51.0,1.1976744186046508,-12.605863192182426,6mc71,6mc71r,6mc71rr,6mc71rrq,6mc71rrqk,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.430264132313006,450.52110589978037,6456.310679611651
-12.0870064,-76.9699854,48,2,267.0,300.0,9.0,3.0,4.0,30.0,2.0,-33.0,0.89,1301.7665343915344,6mc70,6mc70x,6mc70x8,6mc70x8h,6mc70x8hj,2.0,6.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,4.4305830039528065,450.6326581027642,6947.565543071161
-12.0827659,-76.93527209999998,18,2,286.0,232.0,5.0,4.0,4.0,17.0,2.0,54.0,1.2327586206896552,-62.304721030042906,6mc73,6mc732,6mc7323,6mc7323k,6mc7323ky,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.431328878990303,449.8245483791121,7342.657342657342
-12.0776138,-76.90163100000002,18,2,1000.0,432.0,15.0,4.0,4.0,19.0,4.0,568.0,2.314814814814815,359.7665343915343,6mc76,6mc761,6mc7613,6mc7613f,6mc7613fy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.430264132313006,450.3505307331548,2720.0
-11.934197300000001,-77.0792671,22,2,470.0,470.0,16.0,6.0,8.0,18.0,2.0,0.0,1.0,105.85365853658541,6mchn,6mchn5,6mchn52,6mchn52w,6mchn52w6,1.0,0.0,7.0,30.0,22.0,0.0,0.0,0.0,1.0,1.0,4.429276721797084,450.4813626265145,2849.787234042553
-12.1990036,-77.0056713,11,2,200.0,177.0,3.0,3.0,4.0,22.0,2.0,23.0,1.1299435028248588,301.7665343915344,6mc4x,6mc4xe,6mc4xen,6mc4xenp,6mc4xenpt,0.0,3.0,0.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,4.431542461005292,451.2946273830126,7525.0
-12.215311679621319,-77.00873136520386,11,2,1185.0,570.0,18.0,4.0,5.0,22.0,4.0,615.0,2.0789473684210527,-83.45104895104896,6mc4x,6mc4x8,6mc4x87,6mc4x87b,6mc4x87bw,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.4300172796840265,450.30486299679336,2894.5147679324896
-12.0963327,-77.02807209999997,18,2,700.0,518.0,17.0,4.0,4.0,21.0,4.0,182.0,1.351351351351351,-178.62318840579712,6mc5p,6mc5pj,6mc5pjv,6mc5pjvv,6mc5pjvvg,24.0,17.0,0.0,9.0,5.0,2.0,0.0,0.0,0.0,3.0,4.434575931949035,449.3144858643955,6500.0
-11.998455499999999,-77.105727,43,2,160.0,160.0,2.0,2.0,4.0,18.0,1.0,0.0,1.0,8.744360902255664,6mc5t,6mc5tr,6mc5trt,6mc5trtr,6mc5trtrf,0.0,0.0,1.0,7.0,8.0,0.0,0.0,0.0,2.0,0.0,4.430264132313006,450.5578869414984,2821.875
-12.081849,-76.9152806,18,2,1050.0,650.0,18.0,4.0,4.0,20.0,4.0,400.0,1.6153846153846154,-155.60586319218245,6mc73,6mc73b,6mc73b8,6mc73b84,6mc73b840,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,4.430902348578742,450.32385661310167,4000.0
-11.826342,-77.039702,6,2,98.0,98.0,0.0,2.0,3.0,6.0,1.0,0.0,1.0,-358.2334656084657,6mchw,6mchwz,6mchwzj,6mchwzj6,6mchwzj6s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4305109849419875,450.57319180449525,2614.285714285714
-12.08341200990868,-76.9140970558197,18,2,437.0,259.0,6.0,3.0,4.0,17.0,2.0,178.0,1.6872586872586872,172.39413680781757,6mc73,6mc73b,6mc73b2,6mc73b2c,6mc73b2c5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.430264132313006,450.4895087632708,5205.949656750572
-12.067767300000002,-76.94092189999998,18,2,428.0,428.0,15.0,4.0,4.0,19.0,4.0,0.0,1.0,311.7665343915344,6mc73,6mc735,6mc735j,6mc735jk,6mc735jk4,1.0,3.0,0.0,22.0,8.0,0.0,0.0,0.0,0.0,1.0,4.430264132313006,450.4917304369317,4407.710280373832
-12.130465207979341,-77.01953113068849,27,2,370.0,369.0,12.0,3.0,4.0,35.0,3.0,1.0,1.002710027100271,-398.2334656084657,6mc4z,6mc4zr,6mc4zrs,6mc4zrsn,6mc4zrsnf,7.0,4.0,2.0,26.0,4.0,1.0,0.0,0.0,2.0,0.0,4.430264132313006,450.5060478894125,6385.135135135136
-12.1025699099,-77.009959819,38,2,370.0,370.0,12.0,4.0,5.0,29.0,3.0,0.0,1.0,-72.30472103004291,6mc5p,6mc5ps,6mc5psg,6mc5psg1,6mc5psg13,4.0,5.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,4.4300172796840265,450.5060478894125,6283.616216216215
-12.05583157943986,-77.07020248098145,20,2,160.0,205.0,4.0,3.0,4.0,32.0,2.0,-45.0,0.7804878048780488,-389.2334656084657,6mc5q,6mc5qj,6mc5qjr,6mc5qjr1,6mc5qjr1w,2.0,7.0,0.0,11.0,10.0,0.0,0.0,0.0,1.0,0.0,4.430264132313006,450.5578869414985,6125.0
-12.012304400000001,-77.003147,40,2,280.0,280.0,8.0,3.0,4.0,10.0,1.0,0.0,1.0,-198.45104895104896,6mc5x,6mc5xv,6mc5xv0,6mc5xv0p,6mc5xv0p2,2.0,4.0,0.0,12.0,21.0,0.0,2.0,1.0,2.0,0.0,4.430264132313006,450.5282646260208,2285.714285714286
-12.133502900000002,-77.00365210000002,48,2,350.0,300.0,9.0,3.0,4.0,30.0,2.0,50.0,1.1666666666666667,-368.2334656084657,6mc4z,6mc4zx,6mc4zxp,6mc4zxpt,6mc4zxpth,3.0,3.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,4.0,4.430264132313006,450.5109849419922,7071.428571428572
-12.0914691,-76.99891219999998,38,2,300.0,350.0,11.0,3.0,4.0,32.0,3.0,-50.0,0.8571428571428571,604.6115384615384,6mc5p,6mc5py,6mc5pyg,6mc5pyg4,6mc5pyg45,11.0,3.0,5.0,30.0,9.0,0.0,1.0,1.0,0.0,0.0,4.430264132313006,450.5233275734412,7778.333333333332
-12.090145800000002,-76.9527551,18,2,470.0,350.0,11.0,4.0,4.0,15.0,3.0,120.0,1.3428571428571427,-131.52238805970148,6mc70,6mc70z,6mc70zh,6mc70zh9,6mc70zh9y,7.0,1.0,3.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,4.430264132313006,450.4813626265145,6319.148936170212
-12.0791465,-76.89348640000003,28,2,300.0,273.0,7.0,3.0,4.0,19.0,3.0,27.0,1.0989010989010992,-52.17647058823529,6mc76,6mc761,6mc761p,6mc761pc,6mc761pcg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.430370370370271,450.5506172839493,5833.333333333332
-12.142821000000001,-76.99015,48,2,291.0,291.0,8.0,4.0,4.0,30.0,2.0,0.0,1.0,-98.23346560846564,6mc6b,6mc6bj,6mc6bj3,6mc6bj3q,6mc6bj3qz,1.0,1.0,2.0,24.0,9.0,0.0,2.0,0.0,1.0,0.0,4.430264132313006,450.525549247102,5199.312714776634
-12.822620560015313,-76.54452502841454,1,1,170.0,235.0,5.0,5.0,5.0,8.0,3.0,-65.0,0.7234042553191491,351.7665343915343,6m9x4,6m9x41,6m9x41t,6m9x41ty,6m9x41tyz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4300172796840265,450.5554184152086,3612.941176470588
-12.0806710124976,-76.91632331786042,18,2,1230.0,570.0,18.0,4.0,4.0,20.0,4.0,660.0,2.1578947368421053,8.394136807817574,6mc73,6mc738,6mc738z,6mc738z0,6mc738z0z,5.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,4.430264132313006,450.2937546284893,3983.7398373983733
-12.8379962,-76.52890579999998,1,1,316.0,180.0,3.0,4.0,4.0,9.0,2.0,136.0,1.7555555555555555,-248.23346560846556,6m9wf,6m9wfw,6m9wfwc,6m9wfwcm,6m9wfwcm7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.430264132313006,450.5193779313775,2506.3291139240505
-11.9587909,-76.98630600000001,40,2,90.0,90.0,0.0,3.0,4.0,18.0,1.0,0.0,1.0,-116.25563909774435,6mc7b,6mc7bn,6mc7bnu,6mc7bnuq,6mc7bnuqc,0.0,2.0,1.0,2.0,16.0,0.0,1.0,0.0,2.0,0.0,4.430264132313006,450.5751666255271,5200.0
-12.1038237,-76.9690694,48,2,211.0,211.0,4.0,3.0,4.0,23.0,2.0,0.0,1.0,29.711111111111112,6mc70,6mc70s,6mc70s8,6mc70s8f,6mc70s8f4,14.0,11.0,8.0,23.0,2.0,0.0,0.0,2.0,0.0,0.0,4.430264132313006,450.54529745742036,6739.336492890995
-12.081241499999999,-76.89900179999998,18,2,322.0,394.0,13.0,4.0,4.0,13.0,3.0,-72.0,0.8172588832487309,328.7450980392157,6mc76,6mc760,6mc760e,6mc760ev,6mc760eve,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,4.433043478260946,450.77142857142877,7826.08695652174
-11.957514131418893,-77.07375198095093,22,2,267.0,267.0,7.0,4.0,6.0,30.0,2.0,0.0,1.0,301.7665343915344,6mc5y,6mc5yp,6mc5yph,6mc5yphw,6mc5yphw7,2.0,1.0,2.0,27.0,13.0,0.0,0.0,0.0,2.0,0.0,4.429770427055045,450.53147371019753,2966.292134831461
-12.0877943,-76.9437507,18,2,645.0,400.0,14.0,4.0,4.0,20.0,4.0,245.0,1.6125,-381.2334656084657,6mc71,6mc71p,6mc71p7,6mc71p7r,6mc71p7r2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.430264132313006,450.4381634164429,4220.775193798449
