latitud,longitud,Barrio,Ciudad,Area_total,Area_constr,MONEDA,Area_constr_cat,NroBanios,Dormitorios,Antiguedad,Cocheras,areas_diff,areas_proporcion,geohash_grado5,geohash_grado6,geohash_grado7,geohash_grado8,geohash_grado9,diff_total_mean_district,Precio_m2_total
-12.0749736,-76.911726,La Molina,Lima,1200.0,380.0,USD,13.0,4.0,4.0,13.0,3.0,820.0,3.1578947368421053,6mc73,6mc73c,6mc73cf,6mc73cfd,6mc73cfd4,-441.2549019607843,2902.083333333333
-12.1175365,-77.0003873,Surquillo,Lima,290.0,216.0,S/,4.0,4.0,4.0,19.0,2.0,74.0,1.3425925925925926,6mc5p,6mc5pf,6mc5pf4,6mc5pf44,6mc5pf440,-148.45104895104896,4308.620689655172
-12.082019599999999,-76.928234,La Molina,Lima,320.0,450.0,USD,15.0,4.0,4.0,19.0,4.0,-130.0,0.7111111111111111,6mc73,6mc732,6mc732w,6mc732w9,6mc732w94,-178.23346560846562,6562.5
-12.0887461,-76.9670433,Santiago de Surco,Lima,937.0,440.0,USD,15.0,4.0,4.0,28.0,3.0,497.0,2.1295454545454544,6mc70,6mc70x,6mc70x6,6mc70x63,6mc70x63c,-484.2334656084656,4482.39060832444
-12.066437368199999,-77.0697467156,Lima Cercado,Lima,200.0,200.0,S/,4.0,3.0,4.0,32.0,2.0,0.0,1.0,6mc5q,6mc5q5,6mc5q5r,6mc5q5re,6mc5q5reb,-398.2334656084656,5464.825
-12.0706169031,-76.95273921479999,NoEspecifica,Lima,300.0,300.0,S/,9.0,3.0,5.0,22.0,2.0,0.0,1.0,6mc72,6mc72f,6mc72fs,6mc72fse,6mc72fsex,78.54895104895104,6034.916666666668
-12.182700099999998,-76.9793376,San Juan de Miraflores,Lima,160.0,80.0,S/,0.0,1.0,3.0,1.0,1.0,80.0,2.0,6mc68,6mc68q,6mc68q1,6mc68q1q,6mc68q1qe,-122.25563909774434,4275.0
-12.0784625,-76.99911399999998,San Luis,Lima,160.0,160.0,S/,2.0,4.0,4.0,1.0,1.0,0.0,1.0,6mc5r,6mc5rc,6mc5rc4,6mc5rc4v,6mc5rc4vy,-212.45104895104896,7656.25
-12.112329635504999,-76.98190292936098,Santiago de Surco,Lima,800.0,525.0,S/,17.0,4.0,4.0,22.0,4.0,275.0,1.5238095238095237,6mc70,6mc705,6mc705p,6mc705p2,6mc705p2x,-198.25563909774434,12450.0
-12.0674241169,-76.9579222057,NoEspecifica,Lima,285.0,285.0,S/,8.0,4.0,5.0,28.0,3.0,0.0,1.0,6mc72,6mc72g,6mc72g0,6mc72g0y,6mc72g0yn,-260.45104895104896,4700.880701754386
-12.1149272,-76.9732259,Santiago de Surco,Lima,220.0,273.0,S/,7.0,3.0,4.0,28.0,2.0,-53.0,0.8058608058608059,6mc70,6mc706,6mc706t,6mc706tc,6mc706tc3,4.0,7847.272727272727
-12.0952651,-77.0400804,San Isidro,Lima,518.0,759.0,USD,19.0,5.0,7.0,22.0,5.0,-241.0,0.6824769433465085,6mc5n,6mc5ny,6mc5nyj,6mc5nyj5,6mc5nyj5u,-34.14942528735631,13445.945945945947
-12.0877785,-76.93290999999998,La Molina,Lima,1020.0,523.0,S/,17.0,4.0,4.0,21.0,4.0,497.0,1.9502868068833652,6mc71,6mc71r,6mc71r7,6mc71r7p,6mc71r7pt,32.394136807817574,4093.137254901961
-12.0959037,-76.92541340000002,La Molina,Lima,317.0,311.0,S/,9.0,4.0,4.0,15.0,2.0,6.0,1.0192926045016077,6mc71,6mc71w,6mc71w0,6mc71w08,6mc71w087,-365.2334656084656,7835.9621451104085
-12.2290043,-76.9277189,Villa el Salvador,Lima,140.0,140.0,S/,1.0,3.0,6.0,16.0,1.0,0.0,1.0,6mc63,6mc63m,6mc63my,6mc63myb,6mc63myby,-100.45104895104896,8328.57142857143
-12.1294968,-77.00112440000002,Santiago de Surco,Lima,420.0,380.0,USD,13.0,4.0,4.0,29.0,3.0,40.0,1.105263157894737,6mc4z,6mc4zz,6mc4zzc,6mc4zzck,6mc4zzckx,-141.23346560846562,7916.666666666668
-12.103045199999999,-77.01055629999998,San Borja,Lima,397.0,397.0,S/,13.0,3.0,5.0,36.0,3.0,0.0,1.0,6mc5p,6mc5ps,6mc5psd,6mc5psdw,6mc5psdwe,-171.23346560846562,5730.478589420655
-11.9654156,-77.08077469999998,Los Olivos,Lima,120.0,120.0,S/,1.0,4.0,8.0,17.0,1.0,0.0,1.0,6mc5v,6mc5vv,6mc5vvz,6mc5vvz2,6mc5vvz2r,-314.2334656084656,3330.0
-12.1086589,-77.03268980000001,Miraflores,Lima,458.0,458.0,S/,16.0,4.0,4.0,38.0,3.0,0.0,1.0,6mc5p,6mc5p5,6mc5p5d,6mc5p5dt,6mc5p5dtb,391.54895104895104,5045.240174672489
-12.1203617,-76.9839144,Santiago de Surco,Lima,300.0,300.0,S/,9.0,3.0,4.0,30.0,2.0,0.0,1.0,6mc70,6mc701,6mc701w,6mc701w1,6mc701w1b,301.7665343915344,7816.666666666668
-12.1252008,-77.02152459999998,Miraflores,Lima,495.0,904.0,USD,19.0,6.0,10.0,45.0,3.0,-409.0,0.547566371681416,6mc5p,6mc5p2,6mc5p2d,6mc5p2dt,6mc5p2dts,,10606.060606060606
-12.075461,-76.9287512,La Molina,Lima,1335.0,735.0,S/,19.0,5.0,4.0,21.0,5.0,600.0,1.816326530612245,6mc73,6mc733,6mc733w,6mc733wp,6mc733wpq,-1.2549019607843093,1617.9775280898873
-12.0947219,-77.036091,San Isidro,Lima,361.0,364.0,USD,12.0,3.0,4.0,35.0,3.0,-3.0,0.9917582417582418,6mc5p,6mc5pn,6mc5pn0,6mc5pn0p,6mc5pn0p0,-378.2334656084656,6292.24376731302
-12.084029199999998,-76.9110056,La Molina,Lima,720.0,334.0,S/,10.0,4.0,4.0,15.0,3.0,386.0,2.155688622754491,6mc73,6mc73b,6mc73b5,6mc73b5j,6mc73b5j7,-28.55913978494624,4103.88888888889
-12.0709389401,-77.0674341418,Pueblo Libre,Lima,340.0,340.0,S/,11.0,4.0,6.0,60.0,3.0,0.0,1.0,6mc5q,6mc5q6,6mc5q69,6mc5q691,6mc5q691w,-32.176470588235304,4117.64705882353
-12.1251192,-76.98718709999999,Santiago de Surco,Lima,420.0,300.0,S/,9.0,3.0,4.0,30.0,2.0,120.0,1.4,6mc70,6mc700,6mc700e,6mc700ew,6mc700ewh,-398.2334656084656,4047.6190476190477
-12.104992800000002,-77.05090240000001,San Isidro,Lima,512.0,648.0,USD,18.0,4.0,4.0,35.0,4.0,-136.0,0.7901234567901234,6mc5n,6mc5ns,6mc5nsm,6mc5nsm5,6mc5nsm5r,433.7665343915344,13671.875
-12.081241499999999,-76.8990018,La Molina,Lima,300.0,240.0,S/,5.0,4.0,4.0,17.0,2.0,60.0,1.25,6mc76,6mc760,6mc760e,6mc760ev,6mc760eve,-64.30472103004291,5716.666666666668
-12.083952235615964,-76.91195017327878,La Molina,Lima,242.0,280.0,USD,8.0,3.0,4.0,20.0,3.0,-38.0,0.8642857142857143,6mc73,6mc73b,6mc73b4,6mc73b4m,6mc73b4mv,318.8979591836735,6074.380165289256
-12.094646800000001,-77.06216780000003,Magdalena,Lima,650.0,614.0,S/,18.0,4.0,5.0,42.0,3.0,36.0,1.0586319218241043,6mc5n,6mc5nq,6mc5nqj,6mc5nqjp,6mc5nqjp9,4.111111111111114,6553.846153846153
-12.0780891,-77.0270793,La Victoria,Lima,140.0,140.0,S/,1.0,2.0,3.0,40.0,1.0,0.0,1.0,6mc5r,6mc5r1,6mc5r1q,6mc5r1q8,6mc5r1q84,49.636363636363626,3475.0
-12.123346699999999,-77.03743039999998,Miraflores,Lima,120.0,204.0,USD,4.0,3.0,4.0,44.0,2.0,-84.0,0.5882352941176471,6mc5n,6mc5nc,6mc5ncp,6mc5ncp0,6mc5ncp03,-290.575,9333.333333333334
-12.123826228318727,-76.98025152831116,Santiago de Surco,Lima,700.0,212.0,S/,4.0,3.0,4.0,23.0,2.0,488.0,3.30188679245283,6mc70,6mc702,6mc702b,6mc702bt,6mc702btw,19.71111111111111,6000.0
-12.1238336,-76.97517359999998,Santiago de Surco,Lima,408.0,408.0,S/,14.0,4.0,4.0,25.0,3.0,0.0,1.0,6mc70,6mc702,6mc702u,6mc702um,6mc702ums,-98.23346560846562,8066.911764705883
-12.1748737,-76.99544419999998,Chorrillos,Lima,1094.0,600.0,USD,18.0,4.0,5.0,22.0,4.0,494.0,1.8233333333333333,6mc4x,6mc4xz,6mc4xzt,6mc4xzts,6mc4xztsh,-198.45104895104896,2559.4149908592317
-12.0823814,-76.91588869999998,La Molina,Lima,1020.0,520.0,USD,17.0,4.0,4.0,21.0,4.0,500.0,1.9615384615384615,6mc73,6mc738,6mc738r,6mc738rx,6mc738rx1,2.376811594202877,3259.803921568628
-12.21342292183342,-77.00965646576581,Chorrillos,Lima,403.0,253.0,USD,6.0,3.0,4.0,24.0,3.0,150.0,1.592885375494071,6mc4x,6mc4x8,6mc4x8e,6mc4x8e7,6mc4x8e78,1125.548951048951,5384.615384615385
-11.968443152616633,-77.07463870950927,Los Olivos,Lima,254.0,254.0,S/,6.0,4.0,6.0,23.0,1.0,0.0,1.0,6mc5y,6mc5yj,6mc5yj5,6mc5yj5y,6mc5yj5yy,-310.575,4251.968503937008
-12.0790854,-76.91737660000003,La Molina,Lima,700.0,420.0,S/,14.0,4.0,4.0,20.0,4.0,280.0,1.6666666666666667,6mc73,6mc739,6mc739n,6mc739n6,6mc739n6p,-323.2334656084656,4374.285714285715
-12.081241499999999,-76.89900179999998,La Molina,Lima,375.0,375.0,S/,12.0,4.0,4.0,15.0,3.0,0.0,1.0,6mc76,6mc760,6mc760e,6mc760ev,6mc760eve,-348.2334656084656,9176.264000000001
-12.125509089473919,-76.97036116256562,Santiago de Surco,Lima,890.0,890.0,S/,19.0,4.0,4.0,20.0,5.0,0.0,1.0,6mc70,6mc702,6mc702x,6mc702xg,6mc702xgu,-36.900000000000006,3303.3707865168544
-12.1025479375,-76.93949044999998,NoEspecifica,Lima,318.0,318.0,S/,10.0,5.0,5.0,20.0,2.0,0.0,1.0,6mc71,6mc71h,6mc71hy,6mc71hy3,6mc71hy3e,-338.45104895104896,6751.877358490567
-11.8236332,-77.0409746,Carabayllo,Lima,99.0,99.0,S/,0.0,2.0,3.0,6.0,1.0,0.0,1.0,6mchw,6mchwz,6mchwzs,6mchwzs6,6mchwzs6r,-448.2334656084656,1861.111111111111
-12.140636599999999,-76.99814690000002,Santiago de Surco,Lima,193.0,182.0,S/,3.0,3.0,4.0,32.0,2.0,11.0,1.0604395604395604,6mc4z,6mc4zv,6mc4zvg,6mc4zvge,6mc4zvget,-82.30472103004291,6062.176165803109
-12.0874226,-76.9088443,La Molina,Lima,300.0,280.0,S/,8.0,3.0,4.0,20.0,3.0,20.0,1.0714285714285714,6mc71,6mc71z,6mc71zs,6mc71zs9,6mc71zs9w,98.27777777777777,4733.333333333333
