latitud,longitud,Barrio,Ciudad,Precio,Area_total,Area_constr,MONEDA,Precio_m2_total,Precio_m2_constr,Precio_cat,Area_constr_cat,NroBanios,Dormitorios,Antiguedad,Cocheras
12.070824,76.9702786,La Molina,Lima,6460000.0,2000.0,800.0,S/,3230.0,8075.0,medio,"(787.525, 1574.05]",5.0,5.0,17.0,5.0
12.083787699999998,76.9181042,La Molina,Lima,4176560.0,1000.0,1000.0,S/,4176.56,4176.56,medio,"(787.525, 1574.05]",5.0,5.0,17.0,5.0
12.0756011,76.93060240000001,La Molina,Lima,4980000.0,1300.0,1300.0,S/,3830.769230769231,3830.769230769231,medio,"(787.525, 1574.05]",5.0,5.0,17.0,5.0
12.07588307408202,76.91744234655759,La Molina,Lima,5146000.0,950.0,950.0,S/,5416.8421052631575,5416.8421052631575,medio,"(787.525, 1574.05]",5.0,5.0,17.0,5.0
12.083787699999998,76.9181042,La Molina,Lima,4766570.0,1000.0,1000.0,S/,4766.57,4766.57,medio,"(787.525, 1574.05]",5.0,5.0,17.0,5.0
12.076378199001,76.89449175276201,La Molina,Lima,8266800.0,1311.0,1120.0,S/,6305.720823798627,7381.071428571428,caro,"(787.525, 1574.05]",5.0,5.0,17.0,5.0
12.0752812,76.9183184,La Molina,Lima,5425000.0,520.0,1000.0,USD,10432.692307692309,5425.0,medio,"(787.525, 1574.05]",5.0,5.0,17.0,5.0
12.07642252382922,76.91816591163939,La Molina,Lima,3150000.0,628.0,797.0,USD,5015.923566878981,3952.3212045169385,bajo,"(787.525, 1574.05]",5.0,5.0,17.0,5.0
12.0742935,76.9136304,La Molina,Lima,12929000.0,3694.0,800.0,USD,3500.0,16161.25,muy caro,"(787.525, 1574.05]",5.0,5.0,17.0,5.0
12.0749736,76.911726,La Molina,Lima,12929000.0,3694.0,900.0,USD,3500.0,14365.555555555555,muy caro,"(787.525, 1574.05]",5.0,5.0,17.0,5.0
12.087888849587278,76.9369317408977,La Molina,Lima,7000000.0,1450.0,1000.0,USD,4827.586206896552,7000.0,caro,"(787.525, 1574.05]",5.0,5.0,17.0,5.0
12.0742935,76.9136304,La Molina,Lima,10500000.0,2397.0,969.0,USD,4380.475594493117,10835.913312693498,muy caro,"(787.525, 1574.05]",5.0,5.0,17.0,5.0
