Fecha,Cuenta Corriente,PBI ,Ratio adul-joven,TI Trimestral,Tasa hipotecaria Trimestral,CaptBurs Trimestral,INB,Precio_por_m2
1999-07-01,-3.02684245202106,55517.781013156,0.01462848536683074,53.0333157754152,19.8603651208427,41022.88333333333,8201.570171775486,2700.096447992011
1999-10-01,-2.0239173249617,53196.0898080476,0.01543474224462783,56.63334964736083,19.575254961079832,42421.31666666667,8219.987636342867,2789.810330797877
2000-01-01,-3.53570140508718,56448.2361722295,0.01630276596071556,56.95410631789866,19.233122769364368,45786.40666666667,8226.53603125519,2584.158431137768
2000-04-01,-3.0608236342529,54674.8223764209,0.01722211654950383,55.527642823848204,18.89099057764893,48329.45333333333,8221.33467591751,2617.791826118631
2000-07-01,-3.88616066697267,58255.5507054466,0.01820189701907294,55.15139906831923,18.548858385933467,44263.416666666664,8204.518565868973,2521.646357981213
2000-10-01,-0.94928271193951,54621.7511351728,0.01918143221864,54.6471261482829,18.206726194217964,40338.416666666664,8196.80477491894,2515.775072419262
2001-01-01,-4.32043582914731,54654.5831316539,0.0200746562969627,53.7183542250822,17.8645940025025,36894.44666666666,8220.337353308532,2246.204787949103
2001-04-01,-4.63828967389323,51760.3669761745,0.02086493697275058,54.75423811031306,16.46257474316233,37951.89333333333,8273.595668073944,2496.909803459182
2001-07-01,-2.24194586138841,58431.0640912253,0.02158000902665974,54.8764667852007,17.3615040012233,38350.84333333333,8357.85104113791,2248.849920343503
2001-10-01,-1.40733914082658,56119.6473108455,0.02221008256791915,54.46806685288737,16.70686522637637,37341.12,8451.482769286296,2334.209245127216
2002-01-01,-1.34374635657741,57268.497372373,0.02273935843289721,56.355572607535294,16.256937638686235,36829.676666666666,8529.59973063707,2246.167657421486
2002-04-01,-2.60874410525181,55137.7411989528,0.02315959182501824,58.380875339756436,15.870860884913833,40010.57666666667,8590.999965406125,2266.001046696789
2002-07-01,-2.01744547021876,62307.2267834046,0.02348641613194951,59.20892174536616,15.166940467051,40483.496666666666,8637.980456948597,2615.175967313709
2002-10-01,-1.38919607476773,58404.3544652876,0.02372694202234281,58.61203110344119,16.901777531454,41820.40666666667,8677.366108206834,2271.442773279948
2003-01-01,-2.09478877417237,59923.6246813338,0.02388808190324498,59.90123484744934,16.806131282133368,43232.64666666667,8716.369499863924,1916.324762858668
2003-04-01,-3.57147733980039,58249.270140964,0.02396890540391443,57.50345588619657,16.749751810580133,46969.59333333333,8754.157054058833,2066.39198300081
2003-07-01,-1.02183105312067,65202.488111194,0.02397338686336252,58.572122427263594,17.354702170982566,52054.39666666667,8791.99448822545,1951.816633923971
2003-10-01,-1.18073326483818,60551.6834730799,0.02388636023861786,61.275439816165466,17.186666666666667,49487.55333333334,8838.031735202609,1993.302277124972
2004-01-01,-0.73608271785349,61589.1720277519,0.02369390006106697,64.8147251155902,16.16333333333333,53508.65666666667,8900.55651233116,2186.189970436902
2004-04-01,-0.427387612478274,60913.815574515,0.02339980767941254,70.54793011575964,15.576666666666668,63820.11666666666,8978.623563888637,2200.165663529867
2004-07-01,-0.95780304473318,67639.7128672909,0.02300255793390541,68.2130599097389,15.403333333333334,63620.17333333333,9072.823862801502,2107.239747386058
2004-10-01,1.39309712196894,63145.7528506701,0.02259961308956906,67.89210112248846,14.953333333333333,60638.486666666664,9173.27787578505,1965.416745901088
2005-01-01,0.382873433050676,66070.5049405968,0.02230286323208786,68.52912358115775,13.866666666666667,65299.193333333336,9267.365595349536,2120.420419991586
2005-04-01,0.904830046276757,64340.8894127658,0.02211533375653629,70.50854849361967,12.593333333333334,71676.17666666668,9353.2464219278,1892.874510916435
2005-07-01,0.600384612312584,71310.3676198867,0.02202906085876146,72.65902872288487,11.573333333333332,70480.84333333334,9433.885741535432,1882.250824105551
2005-10-01,2.11437611309898,67229.8261868521,0.02203456560711431,72.10786331300353,10.78,106684.66666666667,9526.129980609552,2046.523419878351
2006-01-01,2.61735482057101,71090.0706672864,0.02211960959808223,79.68103199612433,10.46,121882.38666666667,9647.245387213905,2024.72238431858
2006-04-01,-0.891393711477025,69670.7640688162,0.02227976574267401,86.32768511273629,10.299999999999999,127743.47666666667,9793.66892149534,1938.232799280603
2006-07-01,2.13243557776404,75823.9354937986,0.02251908989677542,97.96040514694498,10.18,149482.74,9969.815683408262,1773.412795362772
2006-10-01,6.09163204035551,72806.2690644193,0.02274118403125065,98.32513126540623,10.01618,163086.12333333332,10176.442812082796,1885.785765944153
2007-01-01,5.4100819996202,76296.8621833945,0.02283829878000732,99.61923627762583,9.866596666666666,185517.53,10411.585733863052,1815.214051042114
2007-04-01,0.0559883282122236,73353.8223477219,0.0228123425288059,101.86438647853527,9.816836666666667,228478.0,10669.209475104908,1911.804797056221
2007-07-01,1.13287700873424,80625.6306874366,0.02266446606610249,104.42141258041367,9.805682759332287,299186.4166666667,10957.44161681461,1943.883440358567
2007-10-01,1.75926678087682,80689.0812532602,0.0224077973718702,97.88929763537409,9.746728333333335,332483.1166666667,11220.155662571931,1908.751435573483
2008-01-01,2.71274108978703,85024.4647115814,0.02206158444421225,95.08342749035656,9.756139139622116,332475.18333333335,11393.49520916583,1905.868972508302
2008-04-01,-3.50495665192758,80813.1005885844,0.02163104977529333,97.46520444479586,9.886803333333333,305595.55333333334,11477.012627346961,1821.929493570597
2008-07-01,-5.52707912865358,89146.4428726647,0.02111291151950656,90.58005352687623,10.032300000000001,315352.8666666667,11473.072578156785,2016.622477947597
