District,Predicted_price_m2,PCA_comp,Last_price_m2
barranco,4498.36205490248,0.079251833531674,4829.89849785553
jesús maría,3539.8120998614713,0.079251833531674,3198.6784208747486
lince,3949.6624345070727,0.079251833531674,4402.962944045463
magdalena,3965.971379626994,0.079251833531674,3599.7885253235645
miraflores,4464.635054576444,0.079251833531674,4195.084017325505
pueblo libre,3855.468387811011,0.079251833531674,3839.4741462201564
san miguel,3746.1548788396212,0.079251833531674,3822.491465189553
surco,3225.4863992691935,0.079251833531674,3400.2121864689084
barranco,4153.549684253624,0.4846324380370517,4510.091975926215
jesús maría,3525.572746663856,0.4846324380370517,3417.564056465403
lince,3287.5431480338675,0.4846324380370517,2806.5520132349593
magdalena,3546.9850679427323,0.4846324380370517,3382.638815458823
pueblo libre,3709.6430243722248,0.4846324380370517,3770.4115824991877
san miguel,3346.6417440939076,0.4846324380370517,2818.224277201075
barranco,6047.2137211281215,0.5881693518295612,7471.513979947307
la molina,3356.8746664192304,0.5881693518295612,3428.7219485175033
lince,4745.5096210568945,0.5881693518295612,6446.190451600021
magdalena,3999.4573565398887,0.5881693518295612,4849.9673281790265
miraflores,6392.467427470772,0.5881693518295612,5925.290275914857
san isidro,5279.55933112054,0.5881693518295612,5454.940597166416
san miguel,3893.4024616384527,0.5881693518295612,3351.8675628138676
surco,3770.1761350763454,0.5881693518295612,3615.482063078208
la molina,3290.2304979875466,0.8900130425424284,3713.1094306399714
magdalena,4193.278362938163,0.8900130425424284,4151.153273396842
pueblo libre,3503.3052691250055,0.8900130425424284,3470.5143712895774
san miguel,3338.640550697836,0.8900130425424284,2753.889494391312
la molina,3655.525371567056,0.9935499563349376,3374.1755275397672
miraflores,4689.446838908232,0.9935499563349376,4477.932555018501
pueblo libre,3808.890341140743,0.9935499563349376,3763.2229222432425
san borja,4325.129286997314,0.9935499563349376,4121.205257340845
san isidro,4853.650377721516,0.9935499563349376,4402.728961691419
san miguel,3970.3521088682323,0.9935499563349376,3778.532030559471
surco,3775.275070793185,0.9935499563349376,4054.5102646922255
pueblo libre,3808.7222925914543,1.2333385655398792,3878.6518866835854
barranco,4916.7397375083,1.2405618221251138,4661.773592982486
jesús maría,3801.091877862522,1.2405618221251138,3985.759282205478
lince,3875.642674217887,1.2405618221251138,3802.446858295037
magdalena,3985.4767414200774,1.2405618221251138,3807.6418702992
miraflores,5041.463781194436,1.2405618221251138,4999.393009054168
pueblo libre,3939.8563017495626,1.2405618221251138,4145.353909364503
san isidro,5422.979163702672,1.2405618221251138,4952.0490408635005
san miguel,3550.0547839305827,1.2405618221251138,3774.3533857021357
jesús maría,4128.33608701325,1.2477850787103484,3963.33481900034
san miguel,3664.6484369037667,1.2477850787103484,3726.7986552514813
barranco,6130.923313649337,1.344098735917623,6584.294374869082
miraflores,6313.931911625501,1.344098735917623,6927.747275800482
miraflores,3982.168493949587,1.3989305608403146,3739.195600328008
pueblo libre,3680.173918190045,1.3989305608403146,3905.5160102276814
san borja,4223.550802332235,1.3989305608403146,4120.560185236695
san isidro,4361.830931919526,1.3989305608403146,4291.143672891691
la molina,3930.093374439692,1.5024674746328237,5866.27347917676
barranco,3925.003636433656,1.6459424266304907,4477.413709691344
jesús maría,4214.276926726166,1.6459424266304907,3891.209569080818
lince,3872.846700783346,1.6459424266304907,3332.504732284185
magdalena,3874.3984953006166,1.6459424266304907,3678.1089638263566
miraflores,4369.422895460468,1.6459424266304907,5003.204269329533
pueblo libre,3662.2128032225055,1.6459424266304907,3562.682185618157
san isidro,4597.9513426896465,1.6459424266304907,4445.2798610331465
san miguel,3417.8871444007996,1.6459424266304907,3448.794932853923
surco,3858.924315036145,1.6459424266304907,4141.326157770298
pueblo libre,3843.3425741935107,1.653165683215725,4015.221857457689
san miguel,3489.2738631018306,1.653165683215725,3546.3089779444363
barranco,5473.408261241548,1.749479340423,4989.073706589577
jesús maría,4691.474324962682,1.749479340423,4823.761154337853
la molina,3707.5179935626243,1.749479340423,3405.0229149332067
lince,4110.302857022316,1.749479340423,3951.300988284066
magdalena,4389.066697431343,1.749479340423,4276.127017708342
miraflores,5438.868566740046,1.749479340423,5401.711015777261
pueblo libre,3916.4636198391613,1.749479340423,4126.0792627301125
san borja,4359.1877809261405,1.749479340423,4644.9822520896
san isidro,5481.128982600603,1.749479340423,5401.1363170398245
san miguel,3854.869643882311,1.749479340423,3377.297445868906
surco,4217.465115120267,1.749479340423,3814.2889674288795
miraflores,6847.053551616377,1.7567025970082346,6797.763847195382
lince,3978.727162722725,1.996491206213176,4008.6279308059093
magdalena,3187.448405716778,2.051323031135868,2731.652538568805
barranco,4361.375319040319,2.154859944928377,5174.39519752142
jesús maría,4338.647126282947,2.154859944928377,4461.567494006466
la molina,3677.955336527655,2.154859944928377,3596.376982014818
