,Antiguedad,Anunciante,Balneario,NroBanios,Nro_pisos,Cocheras,Dormitorios,Estado de Inmueble,Luminosidad,Mascotas,Precio,Tipo,TipoCochera,Uso_comercial,Uso_profesional,latitud,longitud,Area_constr_m2,Area_total_m2,'Cuarto de servicio','Deposito','Terraza','Kitchenette','Sala de estar','Sotano','Patio','anx81tico','Comedor diario','Comedor','Banio de servicio','Jardanxadn Interno','Walking Closet','Escritorio','Cocina','Banio independiente','Lavanderanxada','Balcon','Sala','Closet','Banio de visitas','Agua','Guardiananxada','Internet','Luz','Cable','Servicio de Limpieza','Conexion a gas','Sistema de seguridad','Telefono','Areadeportiva','Piscina','Solarium','Sala de internet','Sala de cine','Jardanxadn','Parque interno','Guarderanxada','anx81reas verdes','Club House','Hall de ingreso','Areade BBQ','Gimnasio','Areade sauna','Juegos para ninios','Ingreso independiente','Colegios cercanos','Cerca al mar','Centros comerciales cercanos','Parques cercanos','Acceso personas discapacidad','Frente al mar','Desagaue','Jacuzzi','Chimenea','Intercomunicador','Cerco Electrico','Parrilla','Aire acondicionado','Amoblado','Sauna','Calefaccion','Equipado','Terma','Portero electrico','Cocina con reposteros',Distrito,Provincia,geohash_grado6,geohash_grado5,geohash_grado7,geohash_grado8,preciom2_area_total,preciom2_area_constr,grupo_dist,area_ponderada,probability
5266,3.0,475,80,4.0,2.0,1.0,3,1,1,1,280000.0,0,0,1,1,-18.0075215,-70.2346744,200.0,280.0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,145,19,10,5,11,11,1032.0315362200022,1343.3474227358004,2,447.5495616217968,
5267,1.0,475,80,1.0,2.0,0.0,2,1,2,1,47000.0,0,2,1,1,-3.7436735,-73.2516326,120.0,360.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,64,13,1224,271,3776,5046,806.4266822596691,1062.7573221061946,2,862.6486848653904,693.2781268113205
5268,1.0,475,80,3.0,2.0,4.0,3,1,2,1,1600000.0,0,1,1,1,-12.08816,-76.93178979999998,450.0,1265.0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,2,2,2,2,2,2,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,70,12,713,103,2513,3299,1971.8670147155633,2840.748410093181,1,2971.9111590220546,
5269,3.0,475,78,5.0,2.0,5.0,4,4,2,1,1500000.0,1,1,1,1,-12.4794911,-76.7936995,365.0,1812.0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,2,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,108,12,216,62,415,497,1823.67921732464,8173.8924389428785,2,4842.552695834249,
5270,5.0,475,35,3.0,3.0,4.0,3,4,2,1,690000.0,1,1,1,1,-12.757291699999998,-76.61744329999998,330.0,160.0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7,12,132,47,238,279,1996.8556544786154,2005.1744855795348,1,-196.04281844631817,
5271,2.0,475,80,4.0,3.0,2.0,4,0,2,1,465500.0,0,3,1,1,-12.123944143294,-76.989636367459,410.0,230.0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,140,12,670,102,2089,2588,2002.7145887498311,2522.37028455222,1,-146.98651364904276,1998.3000546717828
5272,2.0,475,80,3.0,2.0,4.0,4,3,2,1,700000.0,0,1,1,1,-12.111637454869001,-76.972669014414,375.0,480.0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,2,2,2,2,2,2,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,140,12,677,102,2197,2785,2002.7145887498311,2522.37028455222,1,699.9087996286082,
5273,3.0,475,80,4.0,2.0,5.0,3,6,2,1,1200000.0,0,1,1,1,-12.0756385,-76.9110056,479.0,1404.0,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,2,2,2,2,2,2,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,2,2,2,2,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,70,12,756,105,2940,4069,1971.8670147155633,2840.748410093181,1,3341.2918062520253,
5274,2.0,475,80,4.0,2.0,4.0,3,4,2,1,1600000.0,0,1,1,1,-12.0772863,-76.9353723,520.0,1295.0,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,1,2,2,2,2,2,2,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,70,12,748,105,2798,3777,1971.8670147155633,2840.748410093181,1,2918.136378211156,
5275,1.0,475,80,4.0,2.0,2.0,3,4,2,1,900000.0,0,3,1,1,-12.0977743,-76.9734855,331.0,354.0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,2,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,2,2,2,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,140,12,687,102,2298,2949,2002.7145887498311,2522.37028455222,1,402.17049896626673,
