,Antiguedad,Anunciante,Balneario,NroBanios,Nro_pisos,Cocheras,Dormitorios,Estado de Inmueble,Luminosidad,Mascotas,Precio,Tipo,TipoCochera,Uso_comercial,Uso_profesional,latitud,longitud,Area_constr_m2,Area_total_m2,'Cuarto de servicio','Deposito','Terraza','Kitchenette','Sala de estar','Sotano','Patio','anx81tico','Comedor diario','Comedor','Banio de servicio','Jardanxadn Interno','Walking Closet','Escritorio','Cocina','Banio independiente','Lavanderanxada','Balcon','Sala','Closet','Banio de visitas','Agua','Guardiananxada','Internet','Luz','Cable','Servicio de Limpieza','Conexion a gas','Sistema de seguridad','Telefono','Areadeportiva','Piscina','Solarium','Sala de internet','Sala de cine','Jardanxadn','Parque interno','Guarderanxada','anx81reas verdes','Club House','Hall de ingreso','Areade BBQ','Gimnasio','Areade sauna','Juegos para ninios','Ingreso independiente','Colegios cercanos','Cerca al mar','Centros comerciales cercanos','Parques cercanos','Acceso personas discapacidad','Frente al mar','Desagaue','Jacuzzi','Chimenea','Intercomunicador','Cerco Electrico','Parrilla','Aire acondicionado','Amoblado','Sauna','Calefaccion','Equipado','Terma','Portero electrico','Cocina con reposteros',Distrito,Provincia,geohash_grado6,geohash_grado5,geohash_grado7,geohash_grado8,preciom2_area_total,preciom2_area_constr,grupo_dist,area_ponderada,probability
5296,1.0,475,80,4.0,2.0,2.0,3,3,2,1,455000.0,4,3,1,1,-12.0812415,-76.8990018,242.0,292.0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,1,2,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,70,12,775,108,3035,4215,1971.8670147155633,2840.748410093181,1,396.718476013623,
5297,3.0,475,77,5.0,3.0,4.0,4,4,2,1,3200000.0,1,3,1,1,-12.4794911,-76.7936995,865.0,686.0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,108,12,216,62,415,497,1823.67921732464,8173.8924389428785,2,311.1078558712295,
5298,1.0,475,80,4.0,2.0,5.0,3,3,2,1,1490000.0,0,1,1,1,-12.0788409,-76.92521409999998,515.0,1583.0,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,2,2,2,2,2,2,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,70,12,754,105,2886,3929,1971.8670147155633,2840.748410093181,1,3819.786647650986,1973.2276284809072
5299,8.0,400,80,3.0,3.0,2.0,3,1,2,1,170000.0,0,1,1,1,-12.1675125,-76.9201161,311.0,141.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,156,12,651,95,2052,2547,655.9068863961945,704.2840293937477,2,-215.04281844631808,
5300,9.0,475,80,5.0,2.0,4.0,3,4,2,1,2200000.0,0,3,1,1,-12.0827659,-76.93527209999998,551.0,1196.0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,2,2,2,2,2,2,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,2,2,2,2,2,0,1,1,0,0,1,1,0,0,0,0,0,0,0,70,12,747,105,2782,3741,1971.8670147155633,2840.748410093181,1,2546.8683405757365,
5301,1.0,475,80,5.0,2.0,5.0,2,4,2,1,1600000.0,0,1,1,1,-12.0765459,-76.9634385,423.0,1230.0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,2,2,2,2,2,2,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,70,12,728,104,2657,3548,1971.8670147155633,2840.748410093181,1,2920.156202859875,
5302,1.0,475,80,3.0,3.0,4.0,3,3,2,1,1510000.0,0,3,1,1,-12.0872086,-76.93441329999997,454.0,781.0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,2,2,2,2,2,2,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,70,12,713,103,2518,3305,1971.8670147155633,2840.748410093181,1,1465.8588331290946,1984.1131434789472
5303,3.0,475,80,5.0,3.0,3.0,3,4,2,1,710000.0,0,3,1,1,-12.0817493,-76.9431895,400.0,330.0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,2,2,2,2,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,70,12,745,105,2768,3718,1971.8670147155633,2840.748410093181,1,183.39413358092781,
5304,3.0,475,80,4.0,2.0,2.0,4,1,2,1,470000.0,0,3,1,1,-12.135042599999998,-77.0084128,386.0,316.0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,140,12,289,71,665,818,2002.7145887498311,2522.37028455222,1,169.39413358092781,
5305,1.0,475,80,2.0,3.0,0.0,2,0,2,1,143000.0,0,2,1,1,-12.119177,-77.0378317,45.0,45.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,91,12,330,75,864,1055,2596.08779975437,2361.150732569044,1,45.0,
5306,4.0,475,80,2.0,2.0,2.0,3,0,2,1,590000.0,0,1,1,1,-12.118556274008998,-77.004380906947,250.0,351.0,1,0,1,0,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,144,12,358,76,1137,1469,2133.2422307366373,1925.9766728973846,2,562.5313215475184,
5307,4.0,475,80,5.0,2.0,3.0,3,3,2,1,900000.0,0,1,1,1,-12.1312784,-76.9780385,407.0,407.0,1,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,91,12,641,94,2038,2531,2596.08779975437,2361.150732569044,1,407.0,
5308,2.0,475,80,5.0,2.0,2.0,4,6,2,1,1150000.0,0,3,1,1,-12.0580119,-76.9456572,450.0,1006.0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,1,2,2,2,2,2,2,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,2,2,2,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,70,12,760,105,2980,4139,1971.8670147155633,2840.748410093181,1,2170.4694532714875,
5309,4.0,475,80,5.0,2.0,2.0,4,1,2,1,792000.0,0,0,1,1,-12.087643,-77.062216,490.0,360.0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,2,2,2,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,85,12,340,75,941,1163,2227.552582992326,1974.5011651049842,2,87.73196236458034,2207.999308427062
5310,1.0,379,80,1.0,1.0,0.0,2,0,0,1,215000.0,0,2,2,1,-12.0972384,-77.0696897,94.0,94.0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,85,12,334,75,891,1095,2227.552582992326,1974.5011651049842,2,93.99999999999996,
5311,3.0,381,80,1.0,1.0,0.0,2,6,0,1,160000.0,0,2,1,1,-6.78460881744472,-79.84060275764263,106.0,160.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,1,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,35,11,1107,207,3625,4891,1227.8767947425672,1156.7042151150936,2,273.09595409471285,
5312,1.0,475,80,5.0,2.0,2.0,3,4,2,1,830000.0,0,3,1,1,-12.083343,-76.8965961,400.0,650.0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,2,2,2,2,2,2,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,2,2,2,2,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,70,12,775,108,3040,4225,1971.8670147155633,2840.748410093181,1,1173.5923800681148,
5313,2.0,475,80,4.0,2.0,2.0,4,1,2,1,300000.0,0,3,1,1,-12.068527009814,-76.936365517056,130.0,160.0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,70,12,751,105,2856,3866,1971.8670147155633,2840.748410093181,1,222.83108560817382,
5314,3.0,475,80,5.0,2.0,4.0,4,3,2,1,3032550.0,0,3,1,1,-12.08395,-76.932354,580.0,2637.0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,2,2,2,2,2,2,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,2,2,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,70,12,747,105,2784,3743,1971.8670147155633,2840.748410093181,1,6945.118103200451,1929.5623998999263
5315,3.0,475,111,3.0,3.0,0.0,2,4,2,1,129000.0,2,2,1,1,-4.1763892999999985,-81.12579570000003,86.0,86.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,81,16,1148,220,3693,4962,998.3870397116367,1144.7989990729284,2,85.99999999999996,
5316,3.0,475,111,3.0,3.0,0.0,2,4,2,1,165000.0,2,2,1,1,-4.1763892999999985,-81.12579570000003,134.0,134.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,81,16,1148,220,3693,4962,998.3870397116367,1144.7989990729284,2,134.0,
5317,3.0,475,111,2.0,3.0,0.0,1,4,2,1,109000.0,2,2,1,1,-4.1763892999999985,-81.12579570000003,87.0,87.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,81,16,1148,220,3693,4962,998.3870397116367,1144.7989990729284,2,87.00000000000004,944.0013139179507
5318,3.0,475,111,3.0,3.0,0.0,2,4,2,1,215000.0,2,2,1,1,-4.1763892999999985,-81.12579570000003,134.0,134.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,81,16,1148,220,3693,4962,998.3870397116367,1144.7989990729284,2,134.0,
5319,3.0,475,111,2.0,3.0,0.0,1,4,2,1,116000.0,2,2,1,1,-4.8721757000000006,-80.7143652,68.0,68.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,81,16,1146,219,3689,4958,998.3870397116367,1144.7989990729284,2,68.0,995.2296644262373
5320,3.0,475,111,3.0,3.0,0.0,2,4,2,1,205000.0,2,2,1,1,-4.1763892999999985,-81.12579570000003,134.0,134.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,81,16,1148,220,3693,4962,998.3870397116367,1144.7989990729284,2,134.0,
5321,1.0,475,80,5.0,2.0,2.0,3,4,2,1,670000.0,4,1,1,1,-12.0824781,-76.89930759999999,338.0,324.0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,2,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,70,12,775,108,3031,4205,1971.8670147155633,2840.748410093181,1,294.6788267161856,
5322,1.0,197,80,5.0,2.0,3.0,3,3,2,1,790000.0,0,1,1,1,-12.087752905333,-76.92721095081801,420.0,495.0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,2,2,2,2,2,2,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,2,2,2,2,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,70,12,713,103,2524,3319,1971.8670147155633,2840.748410093181,1,652.0777140204345,
5323,3.0,475,80,4.0,2.0,2.0,3,4,2,1,700000.0,0,3,1,1,-12.1197163,-76.991024,391.0,375.0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,2,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,140,12,671,102,2108,2622,2002.7145887498311,2522.37028455222,1,341.49008767564084,
5324,2.0,475,80,3.0,3.0,2.0,3,6,2,1,350000.0,4,0,1,1,-12.1182722,-77.01121640000002,232.0,120.0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,91,12,358,76,1132,1463,2596.08779975437,2361.150732569044,1,-114.56938627051544,
5325,9.0,475,105,3.0,2.0,2.0,3,3,2,1,250000.0,2,1,1,1,-12.8319444,-76.5386111,110.0,110.0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,2,2,2,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,7,12,146,49,278,335,1996.8556544786154,2005.1744855795348,1,110.0,
5326,1.0,475,80,5.0,2.0,2.0,3,3,2,1,1150000.0,0,3,1,1,-12.0785939,-76.9009595,400.0,1340.0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,2,2,2,2,2,2,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,70,12,776,108,3053,4245,1971.8670147155633,2840.748410093181,1,3308.707349056113,
5327,1.0,475,80,4.0,2.0,2.0,3,4,2,1,490000.0,4,3,1,1,-12.213511605511,-77.005147765082,241.0,296.0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,2,2,2,2,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,41,12,253,70,507,619,1200.0055778897788,2055.995442189472,2,411.1903236149853,
5328,2.0,475,80,3.0,3.0,2.0,3,6,2,1,550000.0,0,3,1,1,-12.0911401,-76.95026290000001,337.0,314.0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,70,12,698,102,2412,3131,1971.8670147155633,2840.748410093181,1,265.82950103373344,
5329,9.0,475,80,4.0,3.0,3.0,3,4,2,1,780000.0,4,3,1,1,-12.08895969269,-76.968761103149,330.0,300.0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,0,1,1,0,0,1,1,0,0,0,0,0,0,0,140,12,697,102,2388,3088,2002.7145887498311,2522.37028455222,1,237.16891439182618,
5330,3.0,475,80,3.0,3.0,4.0,3,1,2,1,560000.0,0,1,1,1,-12.106153,-76.969219,350.0,264.0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,2,2,2,2,2,2,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,140,12,692,102,2338,3004,2002.7145887498311,2522.37028455222,1,83.8842212565685,
5331,3.0,475,80,4.0,2.0,3.0,4,3,2,1,1652300.0,0,1,1,1,-12.087895,-76.930551,352.0,1271.0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,2,2,2,2,2,2,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,70,12,713,103,2521,3312,1971.8670147155633,2840.748410093181,1,3195.7255891303907,1967.365536763351
5332,1.0,475,80,5.0,2.0,3.0,3,0,2,1,650000.0,0,1,1,1,-12.1848841,-77.0074502,300.0,890.0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,1,2,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,41,12,263,70,553,683,1200.0055778897788,2055.995442189472,2,2125.678016960751,
5333,1.0,429,80,5.0,3.0,4.0,4,3,0,1,1150000.0,0,3,1,1,-12.08669858940299,-76.95043476773685,480.0,1036.0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,70,12,699,102,2430,3170,1971.8670147155633,2840.748410093181,1,2200.4694532714875,
5334,6.0,475,78,5.0,3.0,2.0,4,4,2,0,560000.0,1,1,1,1,-12.302735,-76.78308670000001,320.0,160.0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2,2,2,2,2,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,112,12,664,99,2076,2572,2270.988322795083,1726.666266932461,2,-175.09912324359357,
5335,7.0,475,51,5.0,3.0,2.0,4,4,2,0,560000.0,1,3,1,1,-12.3495681,-76.8164396,320.0,160.0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,2,2,2,2,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,113,12,205,60,383,454,1166.9399478636367,1200.7277674283416,2,-175.09912324359357,
5336,1.0,475,60,5.0,2.0,3.0,4,4,2,1,370000.0,1,1,1,1,-12.575321381893001,-76.705973887747,230.0,190.0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,2,2,2,2,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,120,12,183,55,352,418,1698.239283108369,1890.4612905995175,2,106.2252191891016,
5337,7.0,475,80,5.0,3.0,5.0,4,4,2,1,2100000.0,0,1,1,1,-12.113036598821001,-76.964173833496,735.0,1140.0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,2,2,2,2,2,2,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,2,2,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,140,12,681,102,2233,2848,2002.7145887498311,2522.37028455222,1,1988.2196557103464,
5338,8.0,475,80,4.0,2.0,2.0,2,4,2,1,1650000.0,0,3,1,1,-12.104472728378001,-77.033182705835,380.0,300.0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,2,2,2,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,123,12,365,76,1196,1543,3146.749285200451,3144.853126494101,1,132.45043837820322,
5339,1.0,475,80,1.0,2.0,5.0,3,1,2,1,330000.0,0,1,1,1,-12.090762078004,-76.90350830555,305.0,1074.0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,70,12,769,106,3004,4165,1971.8670147155633,2840.748410093181,1,2684.5701610895208,
5340,9.0,475,80,5.0,3.0,3.0,3,3,2,1,1600000.0,0,3,1,1,-12.1196767,-76.9693468,550.0,1250.0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,0,2,2,2,2,2,2,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,2,2,2,2,2,0,1,1,0,0,1,1,0,1,0,0,0,0,0,140,12,679,102,2213,2812,2002.7145887498311,2522.37028455222,1,2716.058664190722,
5341,1.0,475,80,5.0,1.0,5.0,3,3,2,1,1600000.0,4,1,1,1,-12.107405300000002,-76.8065116,554.0,3598.0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,2,2,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,42,12,832,117,3182,4405,426.60273896971603,1987.2749179063767,2,9973.260819709367,
5342,1.0,475,80,3.0,2.0,3.0,2,3,2,1,520000.0,4,3,1,1,-12.0874226,-76.9088443,225.0,300.0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,2,2,2,2,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,70,12,719,103,2571,3414,1971.8670147155633,2840.748410093181,1,457.0777140204345,
5343,2.0,475,8,3.0,2.0,2.0,4,4,2,1,319500.0,1,3,1,1,-12.6203369,-76.6708652,270.0,212.0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,2,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,120,12,178,54,338,403,1698.239283108369,1890.4612905995175,2,90.52656782419727,1589.292987952372
5344,3.0,475,80,5.0,2.0,0.0,2,4,2,1,800000.0,0,2,1,1,-11.9493919,-75.2791917,255.0,578.0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,54,9,1012,163,3501,4758,1245.1514442192474,1269.783321917925,2,1254.4813550480044,
5345,2.0,475,80,3.0,2.0,3.0,2,4,2,1,840000.0,4,1,1,1,-12.0269366,-76.9380189,300.0,700.0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,2,2,2,2,2,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,70,12,796,110,3119,4340,1971.8670147155633,2840.748410093181,1,1537.7478081089835,
5346,4.0,475,80,2.0,3.0,1.0,3,1,2,1,320000.0,0,1,1,1,-12.0599539,-77.09742299999998,311.0,153.0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,13,5,325,74,842,1032,1328.831262188264,1159.8520306573696,2,-177.91038420304858,
5347,8.0,475,80,4.0,2.0,4.0,2,4,2,1,3300000.0,0,3,1,1,-12.0951066,-77.038127,380.0,595.0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,123,12,347,75,1018,1285,3146.749285200451,3144.853126494101,1,1045.289446858579,3169.374810903993
5348,1.0,475,80,4.0,2.0,2.0,2,3,2,1,800000.0,0,1,1,1,-12.120334115588,-77.00807690620401,260.0,235.0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,1,2,2,2,2,2,2,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,91,12,358,76,1136,1468,2596.08779975437,2361.150732569044,1,182.64076199318845,
5349,1.0,475,80,4.0,2.0,0.0,2,1,2,1,360000.0,0,2,1,1,-13.3645964,-71.9208679,240.0,2200.0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,2,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,74,6,1046,181,3541,4799,163.63636363636363,1500.0,2,6304.964259734021,
5350,1.0,475,80,5.0,2.0,4.0,4,3,2,1,1550000.0,0,3,1,1,-12.0772863,-76.9353723,475.0,1213.0,1,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,2,2,2,2,2,2,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,70,12,748,105,2798,3777,1971.8670147155633,2840.748410093181,1,2758.644705961075,
