iter	Passed	Remaining
419	2500	3453
420	2509	3450
421	2514	3444
422	2520	3437
423	2525	3431
424	2531	3425
425	2537	3418
426	2542	3412
427	2548	3406
428	2553	3399
429	2560	3393
430	2565	3386
431	2570	3380
432	2576	3373
433	2581	3366
434	2587	3360
435	2592	3353
436	2598	3347
437	2604	3341
438	2609	3335
439	2614	3327
440	2620	3321
441	2626	3315
442	2631	3308
443	2636	3301
444	2642	3295
445	2648	3289
446	2653	3282
447	2659	3277
448	2665	3270
449	2670	3263
450	2676	3257
451	2682	3251
452	2687	3245
453	2693	3239
454	2699	3232
455	2704	3226
456	2710	3220
457	2715	3214
458	2721	3207
459	2727	3201
460	2732	3195
461	2738	3189
462	2744	3182
463	2749	3176
464	2755	3170
465	2760	3163
466	2766	3157
467	2771	3150
468	2776	3143
469	2781	3136
470	2788	3131
471	2793	3125
472	2799	3118
473	2804	3112
474	2810	3106
475	2816	3100
476	2822	3094
477	2827	3088
478	2833	3081
479	2839	3075
480	2844	3069
481	2850	3062
482	2855	3056
483	2861	3050
484	2867	3044
485	2872	3038
486	2877	3031
487	2884	3026
488	2889	3019
489	2895	3013
490	2900	3007
491	2906	3001
492	2912	2994
493	2917	2988
494	2923	2982
495	2929	2976
496	2935	2970
497	2940	2963
498	2945	2957
499	2951	2951
500	2957	2945
501	2962	2939
502	2968	2932
503	2973	2926
504	2978	2919
505	2984	2913
506	2989	2907
507	2995	2900
508	3001	2895
509	3006	2888
510	3012	2882
511	3018	2876
512	3023	2870
513	3029	2864
514	3035	2858
515	3041	2852
516	3046	2846
517	3052	2840
518	3057	2833
519	3063	2828
520	3070	2822
521	3075	2816
522	3083	2812
523	3093	2810
524	3100	2804
525	3105	2798
526	3111	2792
527	3116	2786
528	3122	2779
529	3127	2773
530	3133	2767
531	3138	2761
532	3144	2755
533	3149	2748
534	3155	2742
535	3161	2736
536	3166	2730
537	3172	2724
538	3177	2717
539	3183	2711
540	3189	2705
541	3194	2699
542	3200	2693
543	3206	2687
544	3211	2681
545	3217	2675
546	3223	2669
547	3229	2663
548	3235	2657
549	3240	2651
550	3245	2645
551	3251	2638
552	3257	2632
553	3263	2627
554	3268	2620
555	3274	2614
556	3282	2610
557	3295	2610
558	3308	2609
559	3316	2605
560	3322	2599
561	3328	2593
562	3333	2587
563	3340	2582
564	3346	2576
565	3351	2569
566	3357	2563
567	3363	2557
568	3368	2551
569	3374	2545
570	3379	2539
571	3385	2532
572	3390	2526
573	3396	2520
574	3401	2514
575	3407	2508
576	3412	2502
577	3418	2495
578	3424	2489
579	3429	2483
580	3435	2477
581	3440	2470
582	3445	2464
583	3451	2458
584	3456	2452
585	3463	2446
586	3468	2440
587	3474	2434
588	3483	2430
589	3488	2424
590	3494	2418
591	3499	2412
592	3505	2405
593	3511	2399
594	3516	2393
595	3522	2387
596	3527	2381
597	3533	2375
598	3539	2369
599	3544	2363
600	3550	2357
601	3556	2351
602	3561	2344
603	3567	2338
604	3572	2332
605	3578	2326
606	3584	2321
607	3590	2314
608	3596	2309
609	3602	2302
610	3607	2296
611	3613	2290
612	3618	2284
