iter	RMSE
0	0.1556736469
1	0.1522585916
2	0.1488697509
3	0.1457491545
4	0.1429272436
5	0.1402338368
6	0.1377655971
7	0.1354830157
8	0.1334082235
9	0.1315219766
10	0.129615667
11	0.1278922789
12	0.1264335464
13	0.1249534756
14	0.1236037805
15	0.1223710363
16	0.1211561907
17	0.1199969377
18	0.1189096495
19	0.1179258265
20	0.1170559094
21	0.1161840629
22	0.1154133334
23	0.1146723053
24	0.1139308117
25	0.1132914797
26	0.1127245956
27	0.1121486523
28	0.1116569217
29	0.1111006742
30	0.1106186158
31	0.1101603782
32	0.1097453506
33	0.1093932896
34	0.1091062456
35	0.1087903836
36	0.1084434487
37	0.1081262196
38	0.1078904152
39	0.1076291904
40	0.1073944139
41	0.1071721848
42	0.1069347981
43	0.1067641799
44	0.1065639263
45	0.1063740981
46	0.1061547693
47	0.1059727537
48	0.1058167652
49	0.1056509355
50	0.1054989528
51	0.1053121855
52	0.1051624332
53	0.1050429056
54	0.1048482895
55	0.1047084672
56	0.1045969007
57	0.1044805043
58	0.1043629373
59	0.104267594
60	0.104159004
61	0.1040230918
62	0.1039478322
63	0.103870632
64	0.1037845573
65	0.1037199731
66	0.1036252697
67	0.1035162828
68	0.1034037154
69	0.103327108
70	0.103249039
71	0.1031439646
72	0.1030599745
73	0.1029741
74	0.1029157887
75	0.1028048616
76	0.1027454214
77	0.1026901097
78	0.1026358598
79	0.1025921419
80	0.1025197972
81	0.1024836575
82	0.1024222794
83	0.1023426028
84	0.1022793564
85	0.1022061809
86	0.1021682728
87	0.102126384
88	0.1020702564
89	0.1020402852
90	0.1019898079
91	0.1018422422
92	0.101808544
93	0.1017522071
94	0.1017020873
95	0.1016661611
96	0.101617107
97	0.1015713316
98	0.1015410851
99	0.1015250237
100	0.1014885226
101	0.1014447159
102	0.1014116746
103	0.1013757708
104	0.101315197
105	0.1012587703
106	0.101220556
107	0.1011884382
108	0.1011455789
109	0.1011072847
110	0.1010762664
111	0.1010386087
112	0.100998621
113	0.100913265
114	0.1008673569
115	0.1008065833
116	0.1007725223
117	0.1007274766
118	0.1006988407
119	0.1006299269
120	0.1005915172
121	0.1005322531
122	0.1004960029
123	0.1004333461
124	0.1003551047
125	0.1003311676
126	0.1002976605
127	0.1002360214
128	0.1001721715
129	0.1001336583
130	0.1001201971
131	0.1000759985
132	0.1000248892
133	0.09999334348
134	0.09994362535
135	0.09992145879
136	0.09988630738
137	0.09981758999
138	0.09976498264
139	0.09971757987
140	0.09967994318
141	0.09965667629
142	0.09960640966
143	0.099541499
144	0.09949253231
145	0.09940069377
146	0.09936843772
147	0.09932693674
148	0.09927095797
149	0.09923428735
150	0.09915312486
151	0.09909403908
152	0.09904647446
153	0.09900629239
154	0.0989722307
155	0.09889761631
156	0.09886059257
157	0.09882167726
158	0.09878121616
159	0.09874541047
160	0.09864279975
161	0.09861976529
162	0.09856160875
163	0.09850682845
164	0.09845197388
165	0.09842982609
166	0.0984174164
167	0.09834132531
168	0.09828762573
169	0.09825158468
170	0.09822434187
171	0.09818355739
172	0.09814964329
173	0.09805654278
174	0.09797089432
175	0.09793288992
176	0.09790122411
177	0.09786828438
178	0.097781697
179	0.09772019678
180	0.09770046523
181	0.09766477046
182	0.09760665524
183	0.09757327726
184	0.09752976729
185	0.09747272288
186	0.0974132238
187	0.09736380845
188	0.09726712833
189	0.09717978783
190	0.09714626816
191	0.09707237676
192	0.09702214847
193	0.09697375364
194	0.09693629665
195	0.09688887598
196	0.09681391072
197	0.09677149502
198	0.0967270592
199	0.09667377655
200	0.09661349131
201	0.09657535772
202	0.09650658692
203	0.09644254287
204	0.09637541084
205	0.0963250042
206	0.09628316379
207	0.09619536815
208	0.09615373574
209	0.0961182926
210	0.09608046711
211	0.09604519365
212	0.09600213296
213	0.09592297575
214	0.0958705227
215	0.09582440173
216	0.095749361
217	0.0957170889
218	0.09565384104
219	0.0955641722
220	0.09549352603
221	0.09545335698
222	0.09539703202
223	0.09535494227
224	0.09527747404
225	0.09521963777
226	0.09516547786
227	0.09511709016
228	0.0950682536
229	0.09500216739
230	0.09492425749
231	0.09488431521
232	0.09482864024
233	0.09476167076
234	0.09474473628
235	0.09470092871
236	0.09467731407
237	0.09460781388
238	0.09457994965
239	0.0945062111
240	0.09445139683
241	0.09439854849
242	0.0943382935
243	0.09429977867
244	0.09426928462
245	0.09422192018
246	0.09420509171
247	0.09417775378
248	0.09411733585
249	0.09407355036
250	0.09402091335
251	0.09396136995
252	0.09392360111
253	0.09388264682
254	0.09384258549
255	0.09379367525
256	0.09375354423
257	0.09370878049
258	0.09364856642
259	0.09360746278
260	0.09357321716
261	0.09350882848
262	0.09346407716
263	0.09340911108
264	0.0933443772
265	0.09329755037
266	0.09325456471
267	0.09320614678
268	0.09316312481
269	0.09313355978
270	0.09308922817
271	0.09304836693
272	0.09299364339
273	0.09292854868
274	0.09290614887
275	0.09288224652
276	0.0928263937
277	0.09275584025
278	0.09269517725
279	0.09266232811
280	0.09260740334
281	0.09255491493
282	0.09249633138
283	0.09245593476
284	0.09241651236
285	0.09238187064
286	0.09235321837
287	0.0923284996
288	0.09226690293
289	0.09221686268
290	0.09217814529
291	0.09212233547
292	0.09208664126
293	0.09206053187
294	0.09200674194
295	0.09194559972
296	0.09189228037
297	0.09182220381
298	0.09179426986
299	0.09174402958
300	0.09168269725
301	0.09164765839
302	0.09161768668
303	0.09156017131
304	0.09152002155
305	0.09148808501
306	0.09145385587
307	0.09141797404
308	0.09138033172
309	0.09131667646
310	0.09125857228
311	0.09119106086
312	0.09114704887
313	0.09110741869
314	0.09105293955
315	0.0910051015
316	0.09097600136
317	0.090934954
318	0.09089930706
319	0.0908439863
320	0.09081531829
321	0.09076995648
322	0.09070872228
323	0.0906771628
324	0.09061639173
325	0.09054592129
326	0.09048929791
327	0.09045012658
328	0.0904133918
329	0.09037687034
330	0.09033668969
331	0.09028581121
332	0.09021856241
333	0.09016976816
334	0.09011245643
335	0.09006081252
336	0.0899974539
337	0.08996223012
338	0.08990443785
339	0.08984675744
340	0.08977006023
341	0.08970226307
342	0.08967788741
343	0.08964920875
344	0.08960571585
345	0.08953709138
346	0.08948554288
347	0.0894518775
348	0.08938171546
349	0.08935174231
350	0.08930030785
351	0.08924350507
352	0.08919906016
353	0.0891671378
354	0.08913626858
355	0.08908555705
356	0.08903890209
357	0.08900980302
358	0.08895972909
359	0.08891922811
360	0.08887675396
361	0.08883990053
362	0.08879103977
363	0.08874711029
364	0.08869804404
365	0.08865450256
366	0.08859559153
367	0.08857240925
368	0.08853408763
369	0.08848633177
370	0.08843921338
371	0.08840387153
372	0.08837839695
373	0.08834536422
374	0.08831118403
375	0.08823805222
376	0.08819688588
377	0.08815700385
378	0.08811318341
379	0.08806804444
380	0.08804728376
381	0.08802023178
382	0.08797810106
383	0.0879381049
384	0.08789091104
385	0.08784746431
386	0.08778597002
387	0.08773913698
388	0.08770581414
389	0.0876624195
390	0.08761635154
391	0.08757682024
392	0.08753942644
393	0.08749225445
394	0.08743910466
395	0.08741442247
396	0.08736886143
397	0.08731795928
398	0.0872902944
399	0.08723854156
400	0.08720658863
401	0.08718088087
402	0.08712246773
403	0.08707458516
404	0.08704215047
405	0.08702190907
406	0.0869971948
407	0.08696336108
408	0.08692419131
409	0.08686246426
410	0.0868109506
411	0.08677342593
412	0.08674981415
413	0.08671150065
414	0.08665722451
415	0.08664280278
416	0.08660418751
417	0.08657190895
418	0.08654046631
419	0.08649956085
420	0.08646228705
421	0.0864269475
422	0.08637893038
423	0.08633410584
424	0.08629093748
425	0.08625101102
426	0.08622739964
427	0.08618479536
428	0.08614088016
429	0.08610168929
430	0.08606744269
431	0.08603919509
432	0.08598655461
433	0.0859469741
434	0.08590839694
435	0.08588037829
436	0.08582567076
437	0.08579234964
438	0.08573399664
439	0.0857119077
440	0.08566755846
441	0.08563574752
442	0.08561280094
443	0.08558443839
444	0.08553255699
445	0.08549738954
446	0.08546030276
447	0.08540802411
448	0.0853738856
449	0.0853351598
450	0.08530044723
451	0.08527153245
452	0.08524470293
453	0.08519220452
454	0.08515720911
455	0.08512745636
456	0.08507869672
457	0.08503091256
458	0.08499680837
459	0.08495885016
460	0.08492989679
461	0.08488406725
462	0.0848590428
463	0.08484097296
464	0.08481220456
465	0.08477887723
466	0.08475284591
467	0.08472826748
468	0.08466909152
469	0.08463371882
470	0.08458479777
471	0.08454453654
472	0.08451220697
473	0.08448137575
474	0.08444108974
475	0.0844054867
476	0.08437178126
477	0.08433687951
478	0.08430242281
479	0.08427503121
480	0.08424485411
481	0.08420905744
482	0.08414835184
483	0.0841135723
484	0.08408119392
