element_type,osmid,amenity,name,geometry
node,1545385601,restaurant,Chifa Jin,POINT (-77.0406053 -12.1193669)
node,1546270210,restaurant,Don Belisario,POINT (-77.0289318 -12.121989)
node,1546270221,restaurant,El Patio de Mendiburu,POINT (-77.0469932 -12.1134655)
node,1546270243,restaurant,Republica,POINT (-77.0300293 -12.1204002)
node,1546270256,restaurant,Palachinke,POINT (-77.03128599999999 -12.1226497)
node,1576828429,school,Colegio Santa Felicia,POINT (-76.9550332 -12.0629175)
node,1576883151,bank,Scotiabank Los Damascos,POINT (-76.95861979999999 -12.0683806)
node,1576883165,bank,Banco Continental,POINT (-76.958253 -12.0689749)
node,1576883167,bank,BCP Los Damascos,POINT (-76.95848599999999 -12.0682968)
node,1576986088,school,Institución Educativa Jacques Cousteau,POINT (-76.94471849999999 -12.0575177)
node,1598328624,bank,BCP,POINT (-76.9909475 -12.1120132)
node,1598328629,bank,Banco Pichincha,POINT (-76.9911192 -12.1123326)
node,1598328641,bank,Interbank Tienda Chacarilla,POINT (-76.9914946 -12.1123856)
node,1598328650,bank,BanBIF,POINT (-76.9912317 -12.1120447)
node,1599033992,bank,BBVA,POINT (-76.9906579 -12.1117195)
node,1606662338,bank,Scotiabank Chacarilla 2,POINT (-76.99113029999999 -12.1142676)
node,1654432957,restaurant,Polleria Roky's,POINT (-76.98865600000001 -12.1458457)
node,1658531534,clinic,,POINT (-77.0228566 -12.0779987)
node,1668205361,restaurant,Elia,POINT (-77.064758 -12.090518)
node,1689177442,restaurant,La Veranda,POINT (-77.0153218 -12.1020195)
node,1704837273,restaurant,Pardo's Chicken,POINT (-76.9487816 -12.0685792)
node,1706421372,bus_station,,POINT (-76.90808560000001 -12.2550125)
node,1726112038,restaurant,La Hacienda Monterrico Grande,POINT (-76.94898929999999 -12.0616545)
node,1787687933,parking,,POINT (-77.036159 -12.0499169)
node,1787702224,parking,,POINT (-77.0366686 -12.048469)
node,1787721269,parking,,POINT (-77.035798 -12.0522613)
node,1787740077,parking,,POINT (-77.0384372 -12.050168)
node,1790690605,restaurant,Pizza Hut,POINT (-76.9830927 -12.1299062)
node,1800677141,restaurant,Las Canastas,POINT (-77.0010369 -12.1280726)
node,1806320463,restaurant,Pardos Chicken,POINT (-76.9825515 -12.1307802)
node,1844110800,college,Escuela de cocina Le Montmartre,POINT (-77.00378329999999 -11.9867479)
node,1844751686,restaurant,Antica,POINT (-77.0226479 -12.1469241)
node,1855116268,restaurant,Delifrance,POINT (-77.0219943 -12.1446725)
node,1863374438,bank,Banco de la Nación,POINT (-77.0746437 -11.8651754)
node,1863374442,bank,Banco de la Nación,POINT (-77.037227 -11.893661)
node,1863374447,bank,Banco de la Nación,POINT (-77.049415 -11.949676)
node,1863374452,bank,Banco de la Nación,POINT (-77.050788 -11.950977)
node,1863374455,bank,Banco de la Nación,POINT (-76.77463109999999 -11.9772335)
node,1863374461,bank,Banco de la Nación,POINT (-77.0580032 -11.9881231)
node,1863374473,bank,Banco de la Nación,POINT (-77.06262049999999 -11.9966305)
node,1863374475,bank,Banco de la Nación,POINT (-77.0606123 -12.0066253)
node,1863374482,bank,Banco de la Nación,POINT (-77.00749999999999 -12.027054)
node,1863374490,bank,Banco de la Nación,POINT (-77.0573201 -12.0279738)
node,1863374494,bank,Banco de la Nación Rimac,POINT (-77.03532800000001 -12.029048)
node,1863374495,bank,Banco de la Nación San Martín de Porres,POINT (-77.0591977 -12.0326829)
node,1863374496,bank,Banco de la Nación,POINT (-77.030788 -12.04464)
node,1863374517,bank,Banco de la Nación Centro Cívico,POINT (-77.03727050000001 -12.0538766)
node,1863374522,bank,Banco de la Nación,POINT (-76.9632909 -12.0538208)
node,1863374531,bank,Banco de la Nación,POINT (-77.03509699999999 -12.0569374)
node,1863374532,bank,Banco de la Nación,POINT (-77.03748710000001 -12.057297)
node,1863374533,bank,Banco de la Nación,POINT (-77.060241 -12.05784)
node,1863374534,bank,Banco de la Nación,POINT (-77.044544 -12.058018)
node,1863374545,bank,Banco de la Nación,POINT (-76.9515292 -12.0600821)
node,1863374546,bank,Banco de la Nación,POINT (-77.0173959 -12.061392)
node,1863374547,bank,Banco de la Nación 28 de Julio,POINT (-77.0360768 -12.064214)
node,1863374548,bank,Banco de la Nación,POINT (-77.0405631 -12.0644612)
node,1863374551,bank,Banco de la Nación,POINT (-77.0288377 -12.0648755)
node,1863374556,bank,Banco de la Nación,POINT (-77.0502479 -12.0663437)
node,1863374560,bank,Banco de la Nación Centro Comercial Gamarra,POINT (-77.01603009999999 -12.067038)
node,1863374564,bank,Banco de la Nación,POINT (-76.957528 -12.0691774)
